Rent Per Month,Edit,Range
Apartment (1 bedroom) in City Centre,?,
Apartment (1 bedroom) Outside of Centre,?,
Apartment (3 bedrooms) in City Centre,?,
Apartment (3 bedrooms) Outside of Centre,?,
Buy Apartment Price,Edit,
Price per Square Meter to Buy Apartment in City Centre,?,
Price per Square Meter to Buy Apartment Outside of Centre,?,
Salaries And Financing,Edit,
Average Monthly Net Salary (After Tax),"6,000.00 $",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
