Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,7℃,13℃,Best Months To Visit Athens,climate,table
Feb,9℃,16℃,Best Months To Visit Athens,climate,table
Mar,10℃,18℃,Best Months To Visit Athens,climate,table
Apr,13℃,22℃,Best Months To Visit Athens,climate,table
May,18℃,26℃,Best Months To Visit Athens,climate,table
Jun,21℃,30℃,Best Months To Visit Athens,climate,table
Jul,24℃,33℃,Best Months To Visit Athens,climate,table
Aug,24℃,33℃,Best Months To Visit Athens,climate,table
Sep,21℃,29℃,Best Months To Visit Athens,climate,table
Oct,16℃,24℃,Best Months To Visit Athens,climate,table
Nov,13℃,19℃,Best Months To Visit Athens,climate,table
Dec,8℃,15℃,Best Months To Visit Athens,climate,table
