Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,91.20,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Feb,95.64,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Mar,95.64,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Apr,96.67,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
May,100.00,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Jun,98.51,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Jul,86.59,High avg 33℃Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Aug,86.59,High avg 33℃,Climate By Month in Athens,climate,table
Sep,99.35,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Oct,100.00,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Nov,98.55,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
Dec,93.48,Chance of cloudy day 100%,Climate By Month in Athens,climate,table
