Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,7℃,13℃,Temperatures (table),climate,table
Feb,9℃,16℃,Temperatures (table),climate,table
Mar,10℃,18℃,Temperatures (table),climate,table
Apr,13℃,22℃,Temperatures (table),climate,table
May,18℃,26℃,Temperatures (table),climate,table
Jun,21℃,30℃,Temperatures (table),climate,table
Jul,24℃,33℃,Temperatures (table),climate,table
Aug,24℃,33℃,Temperatures (table),climate,table
Sep,21℃,29℃,Temperatures (table),climate,table
Oct,16℃,24℃,Temperatures (table),climate,table
Nov,13℃,19℃,Temperatures (table),climate,table
Dec,8℃,15℃,Temperatures (table),climate,table
