Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 €,10.00-25.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",55.00 €,35.00-80.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),9.50 €,8.00-10.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),5.00 €,3.00-7.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),5.00 €,4.00-7.00,Table1,cost_of_living
Cappuccino (regular),3.73 €,2.00-5.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.09 €,1.20-3.00,Table1,cost_of_living
Water (0.33 liter bottle),0.56 €,0.50-1.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.67 €,1.00-2.20,Table1,cost_of_living
Loaf of Fresh White Bread (500g),1.21 €,0.80-2.00,Table1,cost_of_living
"Rice (white), (1kg)",2.51 €,1.40-4.46,Table1,cost_of_living
Eggs (regular) (12),4.33 €,2.40-7.00,Table1,cost_of_living
Local Cheese (1kg),12.89 €,8.50-18.00,Table1,cost_of_living
Chicken Fillets (1kg),9.43 €,5.00-14.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),13.10 €,10.00-16.00,Table1,cost_of_living
Apples (1kg),1.97 €,1.00-2.50,Table1,cost_of_living
Banana (1kg),1.83 €,1.50-2.80,Table1,cost_of_living
Oranges (1kg),1.38 €,0.60-2.50,Table1,cost_of_living
Tomato (1kg),2.06 €,1.20-2.80,Table1,cost_of_living
Potato (1kg),1.26 €,0.70-2.00,Table1,cost_of_living
Onion (1kg),1.06 €,0.70-1.80,Table1,cost_of_living
Lettuce (1 head),1.04 €,0.60-2.00,Table1,cost_of_living
Water (1.5 liter bottle),0.93 €,0.35-1.50,Table1,cost_of_living
Bottle of Wine (Mid-Range),8.25 €,5.00-15.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),1.81 €,1.20-3.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),2.49 €,1.50-5.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),5.00 €,4.50-5.50,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),1.20 €,1.20-1.40,Table1,cost_of_living
Monthly Pass (Regular Price),30.00 €,27.00-35.00,Table1,cost_of_living
Taxi Start (Normal Tariff),4.00 €,3.00-5.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.00 €,0.90-2.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),15.00 €,10.00-20.00,Table1,cost_of_living
Gasoline (1 liter),1.81 €,1.70-2.00,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,000.00 €","23,000.00-29,000.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"25,964.29 €","24,000.00-30,000.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",184.67 €,120.00-300.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,23.63 €,14.00-35.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",30.42 €,25.00-45.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",49.01 €,20.00-80.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),22.88 €,15.00-30.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",9.00 €,8.00-12.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",474.62 €,400.00-700.00,Table1,cost_of_living
"International Primary School, Yearly for 1 Child","9,716.67 €","7,200.00-15,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),81.70 €,40.00-110.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",40.13 €,25.00-65.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),86.15 €,60.00-120.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,104.12 €,70.00-150.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,558.94 €,450.00-700.00,Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,496.51 €,400.00-650.00,Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,038.10 €","900.00-1,600.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,882.00 €,"700.00-1,200.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"3,215.62 €","2,500.00-5,000.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"3,258.62 €","2,500.00-4,500.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),996.08 €,nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.06,3.50-7.00,Table1,cost_of_living
