Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 €,10.00-20.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",90.00 €,60.00-120.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),10.00 €,9.65-13.40,Table1,cost_of_living
Domestic Beer (0.5 liter draught),7.00 €,5.00-10.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),7.00 €,5.00-10.00,Table1,cost_of_living
Cappuccino (regular),4.40 €,2.50-6.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.55 €,1.80-4.00,Table1,cost_of_living
Water (0.33 liter bottle),1.92 €,1.20-3.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.19 €,0.89-1.70,Table1,cost_of_living
Loaf of Fresh White Bread (500g),2.33 €,1.05-5.00,Table1,cost_of_living
"Rice (white), (1kg)",2.40 €,1.00-3.50,Table1,cost_of_living
Eggs (regular) (12),3.10 €,2.20-4.80,Table1,cost_of_living
Local Cheese (1kg),8.28 €,5.90-15.90,Table1,cost_of_living
Chicken Fillets (1kg),12.62 €,8.00-15.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.90 €,9.00-30.00,Table1,cost_of_living
Apples (1kg),2.46 €,1.00-3.00,Table1,cost_of_living
Banana (1kg),1.87 €,1.20-2.00,Table1,cost_of_living
Oranges (1kg),2.18 €,0.99-4.00,Table1,cost_of_living
Tomato (1kg),3.95 €,2.00-7.95,Table1,cost_of_living
Potato (1kg),1.05 €,0.79-1.29,Table1,cost_of_living
Onion (1kg),1.54 €,1.00-2.90,Table1,cost_of_living
Lettuce (1 head),1.83 €,1.00-3.19,Table1,cost_of_living
Water (1.5 liter bottle),1.73 €,1.00-3.00,Table1,cost_of_living
Bottle of Wine (Mid-Range),13.25 €,10.00-19.90,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),2.86 €,1.52-3.79,Table1,cost_of_living
Imported Beer (0.33 liter bottle),3.49 €,1.80-5.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),11.00 €,10.00-13.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),3.20 €,3.20-3.30,Table1,cost_of_living
Monthly Pass (Regular Price),72.00 €,63.00-75.00,Table1,cost_of_living
Taxi Start (Normal Tariff),7.80 €,5.50-10.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.14 €,1.05-2.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),60.00 €,56.40-66.00,Table1,cost_of_living
Gasoline (1 liter),1.83 €,1.67-2.00,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"32,000.00 €","30,329.00-37,000.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,912.17 €","32,327.57-35,000.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",120.34 €,68.00-250.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,25.37 €,18.00-30.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",20.95 €,15.00-30.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",39.90 €,30.00-60.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),29.81 €,20.00-42.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",17.20 €,15.00-20.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",358.00 €,300.00-500.00,Table1,cost_of_living
"International Primary School, Yearly for 1 Child","9,728.17 €","2,914.00-17,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),92.45 €,48.00-129.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",36.68 €,20.00-50.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),90.92 €,50.00-120.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,119.47 €,60.00-200.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,"1,060.04 €","850.00-1,300.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,821.76 €,"700.00-1,100.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,866.54 €","1,500.00-2,500.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,359.19 €","1,100.00-1,600.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"8,004.12 €","6,000.00-10,500.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"4,621.46 €","3,685.00-6,000.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"2,932.64 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.05,2.28-5.00,Table1,cost_of_living
