Category,Value,table_caption,category
Level of crime,23.13Low,Crime Details Table 1,crime
Crime increasing in the past 5 years,58.61Moderate,Crime Details Table 1,crime
Worries home broken and things stolen,15.75Very Low,Crime Details Table 1,crime
Worries being mugged or robbed,22.07Low,Crime Details Table 1,crime
Worries car stolen,15.86Very Low,Crime Details Table 1,crime
Worries things from car stolen,23.05Low,Crime Details Table 1,crime
Worries attacked,25.86Low,Crime Details Table 1,crime
Worries being insulted,27.67Low,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",24.01Low,Crime Details Table 1,crime
Problem people using or dealing drugs,35.90Low,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,30.79Low,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,21.66Low,Crime Details Table 1,crime
Problem corruption and bribery,16.24Very Low,Crime Details Table 1,crime
