Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,9℃,21℃,"Best Months To Visit Los Angeles, CA",climate,table
Feb,11℃,22℃,"Best Months To Visit Los Angeles, CA",climate,table
Mar,12℃,23℃,"Best Months To Visit Los Angeles, CA",climate,table
Apr,13℃,24℃,"Best Months To Visit Los Angeles, CA",climate,table
May,15℃,24℃,"Best Months To Visit Los Angeles, CA",climate,table
Jun,17℃,26℃,"Best Months To Visit Los Angeles, CA",climate,table
Jul,19℃,29℃,"Best Months To Visit Los Angeles, CA",climate,table
Aug,19℃,29℃,"Best Months To Visit Los Angeles, CA",climate,table
Sep,19℃,29℃,"Best Months To Visit Los Angeles, CA",climate,table
Oct,17℃,28℃,"Best Months To Visit Los Angeles, CA",climate,table
Nov,12℃,24℃,"Best Months To Visit Los Angeles, CA",climate,table
Dec,9℃,21℃,"Best Months To Visit Los Angeles, CA",climate,table
