Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,9℃,21℃,Temperatures (table),climate,table
Feb,11℃,22℃,Temperatures (table),climate,table
Mar,12℃,23℃,Temperatures (table),climate,table
Apr,13℃,24℃,Temperatures (table),climate,table
May,15℃,24℃,Temperatures (table),climate,table
Jun,17℃,26℃,Temperatures (table),climate,table
Jul,19℃,29℃,Temperatures (table),climate,table
Aug,19℃,29℃,Temperatures (table),climate,table
Sep,19℃,29℃,Temperatures (table),climate,table
Oct,17℃,28℃,Temperatures (table),climate,table
Nov,12℃,24℃,Temperatures (table),climate,table
Dec,9℃,21℃,Temperatures (table),climate,table
