Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",25.00 $,15.00-45.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",100.00 $,70.00-160.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),14.00 $,11.64-15.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),8.00 $,5.00-12.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),10.00 $,7.00-12.00,Table1,cost_of_living
Cappuccino (regular),5.74 $,4.00-8.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.90 $,2.00-4.50,Table1,cost_of_living
Water (0.33 liter bottle),2.24 $,1.99-3.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.18 $,0.79-1.72,Table1,cost_of_living
Loaf of Fresh White Bread (500g),4.52 $,2.20-7.72,Table1,cost_of_living
"Rice (white), (1kg)",5.87 $,2.20-10.00,Table1,cost_of_living
Eggs (regular) (12),7.61 $,3.99-10.00,Table1,cost_of_living
Local Cheese (1kg),13.19 $,8.82-33.07,Table1,cost_of_living
Chicken Fillets (1kg),16.71 $,6.59-30.86,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),20.15 $,10.00-39.68,Table1,cost_of_living
Apples (1kg),6.00 $,2.76-8.82,Table1,cost_of_living
Banana (1kg),2.72 $,1.30-6.61,Table1,cost_of_living
Oranges (1kg),4.33 $,1.65-8.82,Table1,cost_of_living
Tomato (1kg),4.91 $,2.20-8.82,Table1,cost_of_living
Potato (1kg),3.23 $,1.10-4.41,Table1,cost_of_living
Onion (1kg),2.69 $,1.10-4.41,Table1,cost_of_living
Lettuce (1 head),1.95 $,1.00-3.00,Table1,cost_of_living
Water (1.5 liter bottle),2.22 $,1.30-4.50,Table1,cost_of_living
Bottle of Wine (Mid-Range),15.00 $,8.00-25.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),3.06 $,1.79-4.29,Table1,cost_of_living
Imported Beer (0.33 liter bottle),3.39 $,1.75-7.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),11.75 $,10.00-14.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),1.75 $,1.75-2.75,Table1,cost_of_living
Monthly Pass (Regular Price),86.96 $,65.00-130.00,Table1,cost_of_living
Taxi Start (Normal Tariff),3.10 $,3.10-7.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.86 $,1.68-4.35,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),29.19 $,29.19-50.00,Table1,cost_of_living
Gasoline (1 liter),1.26 $,1.14-1.47,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"32,727.50 $","28,000.00-36,753.89",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"26,631.82 $","25,500.00-29,000.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",180.36 $,120.00-350.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,65.63 $,30.00-93.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",72.78 $,55.00-95.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",47.82 $,25.00-150.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),12.00 $,8.00-20.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",18.00 $,14.00-22.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,788.89 $","1,400.00-2,500.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","27,000.00 $","20,000.00-45,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),63.32 $,30.00-120.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",46.50 $,24.98-75.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),102.00 $,70.00-130.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,151.50 $,100.00-200.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,"2,605.59 $","2,000.00-3,000.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,"2,072.81 $","1,800.00-2,500.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"4,530.83 $","4,000.00-6,897.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"3,800.64 $","3,000.00-5,000.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"7,886.29 $","6,964.25-10,225.71",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"6,815.02 $","5,381.96-8,072.93",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"4,439.61 $",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.50,6.00-7.25,Table1,cost_of_living
