Category,Value,table_caption,category
Level of crime,61.10High,Crime Details Table 1,crime
Crime increasing in the past 5 years,64.26High,Crime Details Table 1,crime
Worries home broken and things stolen,47.71Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,47.59Moderate,Crime Details Table 1,crime
Worries car stolen,47.81Moderate,Crime Details Table 1,crime
Worries things from car stolen,57.69Moderate,Crime Details Table 1,crime
Worries attacked,48.72Moderate,Crime Details Table 1,crime
Worries being insulted,50.17Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",35.22Low,Crime Details Table 1,crime
Problem people using or dealing drugs,66.61High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,62.92High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,56.28Moderate,Crime Details Table 1,crime
Problem corruption and bribery,54.46Moderate,Crime Details Table 1,crime
