Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,70.48,Chance of cloudy day 96%Chance of rainy day 61%,Climate By Month in Lyon,climate,table
Feb,70.48,Chance of cloudy day 94%Chance of rainy day 53%,Climate By Month in Lyon,climate,table
Mar,81.42,Chance of cloudy day 86%Chance of rainy day 47%,Climate By Month in Lyon,climate,table
Apr,92.34,Chance of cloudy day 85%Chance of rainy day 42%,Climate By Month in Lyon,climate,table
May,96.67,Chance of cloudy day 82%Chance of rainy day 48%,Climate By Month in Lyon,climate,table
Jun,100.00,Chance of cloudy day 71%,Climate By Month in Lyon,climate,table
Jul,99.79,Chance of cloudy day 69%,Climate By Month in Lyon,climate,table
Aug,100.00,Chance of cloudy day 68%,Climate By Month in Lyon,climate,table
Sep,99.37,Chance of cloudy day 75%,Climate By Month in Lyon,climate,table
Oct,97.64,Chance of cloudy day 86%Chance of rainy day 43%,Climate By Month in Lyon,climate,table
Nov,87.23,Chance of cloudy day 87%Chance of rainy day 51%,Climate By Month in Lyon,climate,table
Dec,66.75,Chance of cloudy day 84%Chance of rainy day 41%,Climate By Month in Lyon,climate,table
