Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,2℃,8℃,Temperatures (table),climate,table
Feb,2℃,9℃,Temperatures (table),climate,table
Mar,4℃,14℃,Temperatures (table),climate,table
Apr,7℃,18℃,Temperatures (table),climate,table
May,11℃,21℃,Temperatures (table),climate,table
Jun,15℃,26℃,Temperatures (table),climate,table
Jul,18℃,29℃,Temperatures (table),climate,table
Aug,16℃,28℃,Temperatures (table),climate,table
Sep,13℃,23℃,Temperatures (table),climate,table
Oct,10℃,18℃,Temperatures (table),climate,table
Nov,5℃,12℃,Temperatures (table),climate,table
Dec,1℃,8℃,Temperatures (table),climate,table
