Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 €,10.00-20.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",60.00 €,40.00-80.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),11.00 €,10.00-12.50,Table1,cost_of_living
Domestic Beer (0.5 liter draught),7.00 €,4.90-8.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),6.00 €,4.00-8.00,Table1,cost_of_living
Cappuccino (regular),3.42 €,1.50-4.50,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.57 €,1.80-4.50,Table1,cost_of_living
Water (0.33 liter bottle),1.56 €,1.00-2.50,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.30 €,1.00-2.00,Table1,cost_of_living
Loaf of Fresh White Bread (500g),2.23 €,1.50-7.00,Table1,cost_of_living
"Rice (white), (1kg)",2.28 €,1.50-3.50,Table1,cost_of_living
Eggs (regular) (12),3.56 €,2.50-4.80,Table1,cost_of_living
Local Cheese (1kg),21.25 €,18.00-32.00,Table1,cost_of_living
Chicken Fillets (1kg),13.46 €,8.00-21.53,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),22.76 €,12.00-40.00,Table1,cost_of_living
Apples (1kg),2.35 €,1.50-3.50,Table1,cost_of_living
Banana (1kg),2.19 €,1.50-3.00,Table1,cost_of_living
Oranges (1kg),3.02 €,1.00-4.00,Table1,cost_of_living
Tomato (1kg),3.29 €,1.99-4.00,Table1,cost_of_living
Potato (1kg),2.50 €,1.90-3.59,Table1,cost_of_living
Onion (1kg),2.35 €,1.80-3.00,Table1,cost_of_living
Lettuce (1 head),1.24 €,1.00-2.00,Table1,cost_of_living
Water (1.5 liter bottle),0.74 €,0.25-1.50,Table1,cost_of_living
Bottle of Wine (Mid-Range),8.00 €,3.69-15.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),2.75 €,1.20-3.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),2.82 €,1.50-4.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),12.00 €,11.00-13.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),2.10 €,2.00-2.30,Table1,cost_of_living
Monthly Pass (Regular Price),72.60 €,69.00-76.00,Table1,cost_of_living
Taxi Start (Normal Tariff),5.00 €,2.30-8.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.60 €,1.40-2.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),50.00 €,40.00-50.00,Table1,cost_of_living
Gasoline (1 liter),1.77 €,1.70-1.90,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"32,395.00 €","30,740.00-32,395.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,200.00 €","30,000.00-33,750.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",245.02 €,130.00-400.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.76 €,9.99-25.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",31.50 €,20.00-45.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",39.56 €,25.00-65.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),20.00 €,20.00-20.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",12.00 €,8.00-14.50,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",641.67 €,"300.00-1,000.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","10,333.33 €","4,000.00-15,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),98.00 €,60.00-130.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",45.67 €,30.00-59.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),102.22 €,70.00-150.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,145.00 €,90.00-200.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,834.50 €,"650.00-1,200.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,600.00 €,450.00-900.00,Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,647.50 €","1,200.00-2,980.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,061.67 €","800.00-1,600.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"5,904.71 €","5,100.00-6,600.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"3,683.17 €","2,800.00-4,157.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"2,569.11 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.98,3.00-4.50,Table1,cost_of_living
