Category,Value,table_caption,category
Level of crime,60.84High,Crime Details Table 1,crime
Crime increasing in the past 5 years,76.01High,Crime Details Table 1,crime
Worries home broken and things stolen,51.80Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,58.85Moderate,Crime Details Table 1,crime
Worries car stolen,49.17Moderate,Crime Details Table 1,crime
Worries things from car stolen,61.28High,Crime Details Table 1,crime
Worries attacked,59.35Moderate,Crime Details Table 1,crime
Worries being insulted,68.41High,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",47.03Moderate,Crime Details Table 1,crime
Problem people using or dealing drugs,64.62High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,66.45High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,53.53Moderate,Crime Details Table 1,crime
Problem corruption and bribery,36.69Low,Crime Details Table 1,crime
