Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,20.42,Low avg -5℃Chance of cloudy day 63%Chance of rainy day 47%Chance of snow day 60%,Climate By Month in Warsaw,climate,table
Feb,36.90,Low avg -3℃Chance of cloudy day 59%Chance of rainy day 41%Chance of snow day 36%,Climate By Month in Warsaw,climate,table
Mar,50.71,Low avg -1℃Chance of cloudy day 47%Chance of rainy day 44%,Climate By Month in Warsaw,climate,table
Apr,80.23,Chance of rainy day 56%,Climate By Month in Warsaw,climate,table
May,96.67,Chance of rainy day 55%,Climate By Month in Warsaw,climate,table
Jun,98.55,Chance of rainy day 50%,Climate By Month in Warsaw,climate,table
Jul,100.00,Chance of rainy day 55%,Climate By Month in Warsaw,climate,table
Aug,100.00,Chance of rainy day 41%,Climate By Month in Warsaw,climate,table
Sep,98.55,Chance of fog day 33%Chance of rainy day 54%,Climate By Month in Warsaw,climate,table
Oct,87.23,Chance of cloudy day 44%Chance of fog day 35%Chance of rainy day 56%,Climate By Month in Warsaw,climate,table
Nov,72.88,Chance of cloudy day 60%Chance of rainy day 61%,Climate By Month in Warsaw,climate,table
Dec,53.24,Low avg -1℃Chance of cloudy day 64%Chance of rainy day 63%Chance of snow day 30%,Climate By Month in Warsaw,climate,table
