Category,Value,table_caption,category
Level of crime,19.51Very Low,Crime Details Table 1,crime
Crime increasing in the past 5 years,40.71Moderate,Crime Details Table 1,crime
Worries home broken and things stolen,20.97Low,Crime Details Table 1,crime
Worries being mugged or robbed,20.49Low,Crime Details Table 1,crime
Worries car stolen,22.55Low,Crime Details Table 1,crime
Worries things from car stolen,26.53Low,Crime Details Table 1,crime
Worries attacked,24.50Low,Crime Details Table 1,crime
Worries being insulted,28.33Low,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",27.34Low,Crime Details Table 1,crime
Problem people using or dealing drugs,24.59Low,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,37.46Low,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,14.18Very Low,Crime Details Table 1,crime
Problem corruption and bribery,40.53Moderate,Crime Details Table 1,crime
