Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,4℃,8℃,Best Months To Visit Cardiff,climate,table
Feb,3℃,8℃,Best Months To Visit Cardiff,climate,table
Mar,3℃,9℃,Best Months To Visit Cardiff,climate,table
Apr,6℃,13℃,Best Months To Visit Cardiff,climate,table
May,8℃,16℃,Best Months To Visit Cardiff,climate,table
Jun,12℃,19℃,Best Months To Visit Cardiff,climate,table
Jul,14℃,21℃,Best Months To Visit Cardiff,climate,table
Aug,13℃,20℃,Best Months To Visit Cardiff,climate,table
Sep,12℃,18℃,Best Months To Visit Cardiff,climate,table
Oct,10℃,15℃,Best Months To Visit Cardiff,climate,table
Nov,6℃,11℃,Best Months To Visit Cardiff,climate,table
Dec,5℃,10℃,Best Months To Visit Cardiff,climate,table
