Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,82.58,Chance of cloudy day 54%Chance of windy day 55%Chance of rainy day 76%,Climate By Month in Cardiff,climate,table
Feb,76.20,Chance of cloudy day 53%Chance of windy day 58%Chance of rainy day 62%,Climate By Month in Cardiff,climate,table
Mar,77.39,Chance of cloudy day 57%Chance of rainy day 59%,Climate By Month in Cardiff,climate,table
Apr,90.14,Chance of rainy day 47%,Climate By Month in Cardiff,climate,table
May,96.67,Chance of rainy day 52%,Climate By Month in Cardiff,climate,table
Jun,99.37,Chance of rainy day 49%,Climate By Month in Cardiff,climate,table
Jul,100.00,Chance of rainy day 49%,Climate By Month in Cardiff,climate,table
Aug,100.00,Chance of rainy day 61%,Climate By Month in Cardiff,climate,table
Sep,100.00,Chance of rainy day 53%,Climate By Month in Cardiff,climate,table
Oct,98.55,Chance of cloudy day 52%Chance of rainy day 63%,Climate By Month in Cardiff,climate,table
Nov,91.24,Chance of cloudy day 57%Chance of rainy day 68%,Climate By Month in Cardiff,climate,table
Dec,87.23,Chance of cloudy day 59%Chance of windy day 54%Chance of rainy day 72%,Climate By Month in Cardiff,climate,table
