Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,4℃,8℃,Temperatures (table),climate,table
Feb,3℃,8℃,Temperatures (table),climate,table
Mar,3℃,9℃,Temperatures (table),climate,table
Apr,6℃,13℃,Temperatures (table),climate,table
May,8℃,16℃,Temperatures (table),climate,table
Jun,12℃,19℃,Temperatures (table),climate,table
Jul,14℃,21℃,Temperatures (table),climate,table
Aug,13℃,20℃,Temperatures (table),climate,table
Sep,12℃,18℃,Temperatures (table),climate,table
Oct,10℃,15℃,Temperatures (table),climate,table
Nov,6℃,11℃,Temperatures (table),climate,table
Dec,5℃,10℃,Temperatures (table),climate,table
