Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,0℃,10℃,"Best Months To Visit Memphis, TN",climate,table
Feb,3℃,13℃,"Best Months To Visit Memphis, TN",climate,table
Mar,6℃,17℃,"Best Months To Visit Memphis, TN",climate,table
Apr,12℃,23℃,"Best Months To Visit Memphis, TN",climate,table
May,17℃,27℃,"Best Months To Visit Memphis, TN",climate,table
Jun,22℃,32℃,"Best Months To Visit Memphis, TN",climate,table
Jul,23℃,33℃,"Best Months To Visit Memphis, TN",climate,table
Aug,23℃,32℃,"Best Months To Visit Memphis, TN",climate,table
Sep,20℃,31℃,"Best Months To Visit Memphis, TN",climate,table
Oct,14℃,25℃,"Best Months To Visit Memphis, TN",climate,table
Nov,6℃,17℃,"Best Months To Visit Memphis, TN",climate,table
Dec,3℃,12℃,"Best Months To Visit Memphis, TN",climate,table
