Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,0℃,10℃,Temperatures (table),climate,table
Feb,3℃,13℃,Temperatures (table),climate,table
Mar,6℃,17℃,Temperatures (table),climate,table
Apr,12℃,23℃,Temperatures (table),climate,table
May,17℃,27℃,Temperatures (table),climate,table
Jun,22℃,32℃,Temperatures (table),climate,table
Jul,23℃,33℃,Temperatures (table),climate,table
Aug,23℃,32℃,Temperatures (table),climate,table
Sep,20℃,31℃,Temperatures (table),climate,table
Oct,14℃,25℃,Temperatures (table),climate,table
Nov,6℃,17℃,Temperatures (table),climate,table
Dec,3℃,12℃,Temperatures (table),climate,table
