Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",19.00 $,13.00-20.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",75.00 $,60.00-150.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),10.00 $,9.00-12.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),6.00 $,5.00-8.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),8.00 $,6.00-10.00,Table1,cost_of_living
Cappuccino (regular),5.20 $,3.50-8.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.50 $,1.50-4.00,Table1,cost_of_living
Water (0.33 liter bottle),2.00 $,1.00-4.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",0.96 $,0.62-1.32,Table1,cost_of_living
Loaf of Fresh White Bread (500g),2.76 $,1.42-6.60,Table1,cost_of_living
"Rice (white), (1kg)",4.68 $,2.71-8.82,Table1,cost_of_living
Eggs (regular) (12),3.79 $,1.87-5.00,Table1,cost_of_living
Local Cheese (1kg),11.17 $,4.39-33.07,Table1,cost_of_living
Chicken Fillets (1kg),10.90 $,4.37-26.46,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),15.43 $,7.61-19.84,Table1,cost_of_living
Apples (1kg),6.32 $,2.18-11.02,Table1,cost_of_living
Banana (1kg),1.63 $,1.06-2.20,Table1,cost_of_living
Oranges (1kg),5.34 $,2.40-11.02,Table1,cost_of_living
Tomato (1kg),4.84 $,3.30-6.61,Table1,cost_of_living
Potato (1kg),5.03 $,1.96-8.77,Table1,cost_of_living
Onion (1kg),3.44 $,1.96-5.30,Table1,cost_of_living
Lettuce (1 head),2.30 $,0.50-3.99,Table1,cost_of_living
Water (1.5 liter bottle),2.41 $,1.00-2.99,Table1,cost_of_living
Bottle of Wine (Mid-Range),14.50 $,10.99-15.99,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),1.73 $,1.43-1.73,Table1,cost_of_living
Imported Beer (0.33 liter bottle),1.88 $,1.50-2.50,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),8.00 $,6.00-12.98,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),1.00 $,1.00-1.50,Table1,cost_of_living
Monthly Pass (Regular Price),50.00 $,12.50-50.00,Table1,cost_of_living
Taxi Start (Normal Tariff),2.00 $,2.00-5.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.37 $,1.12-1.37,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),20.00 $,20.00-20.00,Table1,cost_of_living
Gasoline (1 liter),0.77 $,0.70-0.90,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"36,916.90 $","27,000.00-37,816.83",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"26,945.09 $","25,747.23-27,016.56",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",213.78 $,150.00-275.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,89.40 $,45.00-200.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",67.40 $,45.00-95.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",28.67 $,25.40-45.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),18.00 $,18.00-18.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",12.86 $,11.00-15.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,561.67 $","850.00-1,705.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","27,240.00 $","27,240.00-27,240.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),39.99 $,35.00-45.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",32.50 $,19.95-40.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),74.67 $,60.00-89.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,138.60 $,80.00-220.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,"1,135.00 $","990.00-1,450.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,"1,120.00 $","990.00-1,350.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,450.00 $","1,225.00-2,000.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,553.57 $","1,225.00-2,000.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"1,508.67 $","1,291.67-1,733.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"1,508.67 $","1,291.67-1,733.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"3,467.68 $",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.46,6.19-6.80,Table1,cost_of_living
