Category,Value,table_caption,category
Level of crime,41.73Moderate,Crime Details Table 1,crime
Crime increasing in the past 5 years,60.37High,Crime Details Table 1,crime
Worries home broken and things stolen,39.41Low,Crime Details Table 1,crime
Worries being mugged or robbed,36.66Low,Crime Details Table 1,crime
Worries car stolen,30.65Low,Crime Details Table 1,crime
Worries things from car stolen,39.75Low,Crime Details Table 1,crime
Worries attacked,38.32Low,Crime Details Table 1,crime
Worries being insulted,42.96Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",21.57Low,Crime Details Table 1,crime
Problem people using or dealing drugs,55.10Moderate,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,48.35Moderate,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,32.93Low,Crime Details Table 1,crime
Problem corruption and bribery,28.40Low,Crime Details Table 1,crime
