Category,Value,table_caption,category
Level of crime,89.65Very High,Crime Details Table 1,crime
Crime increasing in the past 5 years,81.80Very High,Crime Details Table 1,crime
Worries home broken and things stolen,73.05High,Crime Details Table 1,crime
Worries being mugged or robbed,76.25High,Crime Details Table 1,crime
Worries car stolen,73.65High,Crime Details Table 1,crime
Worries things from car stolen,82.11Very High,Crime Details Table 1,crime
Worries attacked,73.22High,Crime Details Table 1,crime
Worries being insulted,69.54High,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",63.24High,Crime Details Table 1,crime
Problem people using or dealing drugs,84.75Very High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,83.79Very High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,84.73Very High,Crime Details Table 1,crime
Problem corruption and bribery,67.71High,Crime Details Table 1,crime
