Best Months,table_caption,category,data_type
March,Best Months To Visit Bordeaux,climate,list
April,Best Months To Visit Bordeaux,climate,list
May,Best Months To Visit Bordeaux,climate,list
June,Best Months To Visit Bordeaux,climate,list
July,Best Months To Visit Bordeaux,climate,list
August,Best Months To Visit Bordeaux,climate,list
September,Best Months To Visit Bordeaux,climate,list
October,Best Months To Visit Bordeaux,climate,list
November,Best Months To Visit Bordeaux,climate,list
May,Best Months To Visit Bordeaux,climate,list
