Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,4℃,10℃,Temperatures (table),climate,table
Feb,3℃,11℃,Temperatures (table),climate,table
Mar,6℃,15℃,Temperatures (table),climate,table
Apr,8℃,18℃,Temperatures (table),climate,table
May,11℃,21℃,Temperatures (table),climate,table
Jun,15℃,25℃,Temperatures (table),climate,table
Jul,17℃,28℃,Temperatures (table),climate,table
Aug,16℃,27℃,Temperatures (table),climate,table
Sep,13℃,24℃,Temperatures (table),climate,table
Oct,11℃,20℃,Temperatures (table),climate,table
Nov,7℃,14℃,Temperatures (table),climate,table
Dec,4℃,11℃,Temperatures (table),climate,table
