Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,6℃,13℃,Best Months To Visit Nice,climate,table
Feb,6℃,13℃,Best Months To Visit Nice,climate,table
Mar,8℃,15℃,Best Months To Visit Nice,climate,table
Apr,12℃,18℃,Best Months To Visit Nice,climate,table
May,14℃,20℃,Best Months To Visit Nice,climate,table
Jun,19℃,25℃,Best Months To Visit Nice,climate,table
Jul,22℃,27℃,Best Months To Visit Nice,climate,table
Aug,21℃,27℃,Best Months To Visit Nice,climate,table
Sep,18℃,25℃,Best Months To Visit Nice,climate,table
Oct,15℃,21℃,Best Months To Visit Nice,climate,table
Nov,10℃,17℃,Best Months To Visit Nice,climate,table
Dec,7℃,14℃,Best Months To Visit Nice,climate,table
