Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,85.44,,Climate By Month in Nice,climate,table
Feb,86.66,Chance of cloudy day 45%Chance of rainy day 43%,Climate By Month in Nice,climate,table
Mar,92.34,,Climate By Month in Nice,climate,table
Apr,96.67,,Climate By Month in Nice,climate,table
May,98.55,,Climate By Month in Nice,climate,table
Jun,100.00,Chance of humid day 93%,Climate By Month in Nice,climate,table
Jul,100.00,Chance of humid day 99%,Climate By Month in Nice,climate,table
Aug,100.00,Chance of humid day 99%,Climate By Month in Nice,climate,table
Sep,100.00,Chance of humid day 81%,Climate By Month in Nice,climate,table
Oct,99.37,,Climate By Month in Nice,climate,table
Nov,93.48,,Climate By Month in Nice,climate,table
Dec,88.85,Chance of windy day 66%,Climate By Month in Nice,climate,table
