Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,6℃,13℃,Temperatures (table),climate,table
Feb,6℃,13℃,Temperatures (table),climate,table
Mar,8℃,15℃,Temperatures (table),climate,table
Apr,12℃,18℃,Temperatures (table),climate,table
May,14℃,20℃,Temperatures (table),climate,table
Jun,19℃,25℃,Temperatures (table),climate,table
Jul,22℃,27℃,Temperatures (table),climate,table
Aug,21℃,27℃,Temperatures (table),climate,table
Sep,18℃,25℃,Temperatures (table),climate,table
Oct,15℃,21℃,Temperatures (table),climate,table
Nov,10℃,17℃,Temperatures (table),climate,table
Dec,7℃,14℃,Temperatures (table),climate,table
