Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",18.00 €,12.00-33.04,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",60.00 €,40.00-80.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),10.66 €,10.00-13.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),7.00 €,4.00-8.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),6.00 €,4.00-8.00,Table1,cost_of_living
Cappuccino (regular),3.25 €,1.80-5.26,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.42 €,1.75-4.00,Table1,cost_of_living
Water (0.33 liter bottle),1.39 €,1.00-2.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.09 €,1.00-1.20,Table1,cost_of_living
Loaf of Fresh White Bread (500g),1.85 €,1.00-4.05,Table1,cost_of_living
"Rice (white), (1kg)",2.67 €,2.00-3.30,Table1,cost_of_living
Eggs (regular) (12),4.50 €,2.57-6.40,Table1,cost_of_living
Local Cheese (1kg),13.25 €,7.00-30.00,Table1,cost_of_living
Chicken Fillets (1kg),14.39 €,8.00-18.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.60 €,9.00-30.00,Table1,cost_of_living
Apples (1kg),2.92 €,2.66-5.00,Table1,cost_of_living
Banana (1kg),2.00 €,1.99-5.00,Table1,cost_of_living
Oranges (1kg),3.36 €,2.00-5.00,Table1,cost_of_living
Tomato (1kg),3.95 €,2.50-5.00,Table1,cost_of_living
Potato (1kg),2.10 €,1.40-4.00,Table1,cost_of_living
Onion (1kg),2.48 €,1.50-3.50,Table1,cost_of_living
Lettuce (1 head),1.60 €,1.00-2.99,Table1,cost_of_living
Water (1.5 liter bottle),0.60 €,0.20-1.20,Table1,cost_of_living
Bottle of Wine (Mid-Range),9.00 €,5.00-20.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),3.58 €,1.52-5.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),3.75 €,2.50-5.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),11.75 €,11.00-14.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),1.80 €,1.50-2.50,Table1,cost_of_living
Monthly Pass (Regular Price),39.25 €,30.00-51.80,Table1,cost_of_living
Taxi Start (Normal Tariff),2.00 €,2.00-2.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.66 €,1.66-1.66,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),33.60 €,33.60-39.00,Table1,cost_of_living
Gasoline (1 liter),1.80 €,1.72-2.00,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"32,395.00 €","32,395.00-32,395.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"31,562.50 €","25,000.00-33,750.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",219.71 €,121.43-303.57,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,16.00 €,10.00-20.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.08 €,20.00-40.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",32.89 €,25.00-40.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),25.00 €,20.00-30.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",12.00 €,10.00-14.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",708.33 €,708.33-708.33,Table1,cost_of_living
"International Primary School, Yearly for 1 Child","12,000.00 €","12,000.00-12,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),93.75 €,70.00-120.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.14 €,30.00-50.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),83.57 €,60.00-125.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,124.83 €,80.00-150.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,756.36 €,650.00-980.00,Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,608.46 €,500.00-750.00,Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,387.50 €","1,150.00-1,600.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,043.75 €","900.00-1,300.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"5,374.71 €","4,200.00-7,000.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"4,160.00 €","3,300.00-6,000.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"2,327.67 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.79,3.50-4.25,Table1,cost_of_living
