Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",20.00 €,10.00-25.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",80.00 €,55.00-100.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),11.00 €,10.00-12.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),7.00 €,4.00-9.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),6.00 €,5.00-8.00,Table1,cost_of_living
Cappuccino (regular),3.23 €,2.00-4.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),3.12 €,2.50-4.00,Table1,cost_of_living
Water (0.33 liter bottle),2.33 €,2.00-3.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.38 €,0.98-1.84,Table1,cost_of_living
Loaf of Fresh White Bread (500g),1.77 €,1.00-2.60,Table1,cost_of_living
"Rice (white), (1kg)",1.82 €,1.00-2.80,Table1,cost_of_living
Eggs (regular) (12),3.93 €,2.16-6.00,Table1,cost_of_living
Local Cheese (1kg),16.40 €,7.00-30.00,Table1,cost_of_living
Chicken Fillets (1kg),13.80 €,9.99-18.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),16.12 €,11.02-30.00,Table1,cost_of_living
Apples (1kg),2.83 €,1.10-3.50,Table1,cost_of_living
Banana (1kg),1.84 €,1.10-3.00,Table1,cost_of_living
Oranges (1kg),2.09 €,1.50-2.80,Table1,cost_of_living
Tomato (1kg),4.25 €,2.00-6.00,Table1,cost_of_living
Potato (1kg),2.08 €,1.10-3.50,Table1,cost_of_living
Onion (1kg),1.69 €,1.00-2.00,Table1,cost_of_living
Lettuce (1 head),1.28 €,0.50-2.00,Table1,cost_of_living
Water (1.5 liter bottle),0.61 €,0.20-1.50,Table1,cost_of_living
Bottle of Wine (Mid-Range),6.50 €,5.00-10.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),2.43 €,1.28-4.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),2.93 €,0.89-4.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),11.80 €,11.00-13.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),1.70 €,1.70-1.70,Table1,cost_of_living
Monthly Pass (Regular Price),42.50 €,37.50-45.00,Table1,cost_of_living
Taxi Start (Normal Tariff),3.00 €,3.00-3.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),2.08 €,2.08-2.08,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),25.80 €,25.80-25.80,Table1,cost_of_living
Gasoline (1 liter),1.78 €,1.70-1.90,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"32,395.00 €","32,395.00-32,395.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"33,750.00 €","33,750.00-33,750.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",205.19 €,113.33-340.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,16.94 €,10.00-29.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",33.54 €,29.00-40.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",28.33 €,25.00-40.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),21.25 €,20.00-20.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",14.00 €,12.00-20.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,600.00 €","1,600.00-1,600.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","17,500.00 €","15,000.00-25,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),97.83 €,55.00-110.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.25 €,30.00-60.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),100.00 €,80.00-160.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,167.25 €,100.00-199.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,948.67 €,"700.00-1,300.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,795.83 €,"650.00-1,000.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,883.33 €","1,400.00-3,000.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,562.50 €","1,200.00-1,900.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"6,321.00 €","4,219.00-9,000.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"3,898.17 €","3,389.00-5,000.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"2,087.42 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.93,3.85-4.00,Table1,cost_of_living
