Category,Value,table_caption,category
Level of crime,53.26Moderate,Crime Details Table 1,crime
Crime increasing in the past 5 years,80.29Very High,Crime Details Table 1,crime
Worries home broken and things stolen,44.69Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,51.11Moderate,Crime Details Table 1,crime
Worries car stolen,38.47Low,Crime Details Table 1,crime
Worries things from car stolen,50.69Moderate,Crime Details Table 1,crime
Worries attacked,50.53Moderate,Crime Details Table 1,crime
Worries being insulted,57.72Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",34.63Low,Crime Details Table 1,crime
Problem people using or dealing drugs,57.87Moderate,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,56.82Moderate,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,44.24Moderate,Crime Details Table 1,crime
Problem corruption and bribery,29.78Low,Crime Details Table 1,crime
