Category,Value,table_caption,category
Level of crime,57.41Moderate,Crime Details Table 1,crime
Crime increasing in the past 5 years,66.27High,Crime Details Table 1,crime
Worries home broken and things stolen,52.97Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,54.12Moderate,Crime Details Table 1,crime
Worries car stolen,50.28Moderate,Crime Details Table 1,crime
Worries things from car stolen,57.83Moderate,Crime Details Table 1,crime
Worries attacked,54.20Moderate,Crime Details Table 1,crime
Worries being insulted,58.37Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",50.40Moderate,Crime Details Table 1,crime
Problem people using or dealing drugs,57.70Moderate,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,60.37High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,54.04Moderate,Crime Details Table 1,crime
Problem corruption and bribery,57.70Moderate,Crime Details Table 1,crime
