Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,3℃,9℃,Temperatures (table),climate,table
Feb,3℃,11℃,Temperatures (table),climate,table
Mar,8℃,16℃,Temperatures (table),climate,table
Apr,13℃,22℃,Temperatures (table),climate,table
May,18℃,26℃,Temperatures (table),climate,table
Jun,22℃,28℃,Temperatures (table),climate,table
Jul,27℃,34℃,Temperatures (table),climate,table
Aug,26℃,33℃,Temperatures (table),climate,table
Sep,22℃,29℃,Temperatures (table),climate,table
Oct,17℃,24℃,Temperatures (table),climate,table
Nov,11℃,18℃,Temperatures (table),climate,table
Dec,4℃,11℃,Temperatures (table),climate,table
