Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",35.00ʴ,20.00-60.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",255.00ʴ,150.00-500.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),40.00ʴ,30.00-50.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),10.00ʴ,5.00-30.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),20.00ʴ,12.00-50.00,Table1,cost_of_living
Cappuccino (regular),25.28ʴ,11.00-40.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),4.07ʴ,3.00-10.00,Table1,cost_of_living
Water (0.33 liter bottle),2.51ʴ,2.00-5.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",15.24ʴ,10.00-25.00,Table1,cost_of_living
Loaf of Fresh White Bread (500g),12.70ʴ,8.00-30.00,Table1,cost_of_living
"Rice (white), (1kg)",7.67ʴ,3.00-20.00,Table1,cost_of_living
Eggs (regular) (12),11.94ʴ,7.20-18.00,Table1,cost_of_living
Local Cheese (1kg),113.34ʴ,48.70-200.00,Table1,cost_of_living
Chicken Fillets (1kg),22.10ʴ,10.00-34.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),74.83ʴ,45.00-130.00,Table1,cost_of_living
Apples (1kg),16.72ʴ,8.00-30.00,Table1,cost_of_living
Banana (1kg),12.41ʴ,8.00-20.00,Table1,cost_of_living
Oranges (1kg),12.74ʴ,6.00-25.00,Table1,cost_of_living
Tomato (1kg),10.37ʴ,6.00-20.00,Table1,cost_of_living
Potato (1kg),5.66ʴ,3.69-10.00,Table1,cost_of_living
Onion (1kg),8.16ʴ,4.80-12.00,Table1,cost_of_living
Lettuce (1 head),4.74ʴ,2.00-9.00,Table1,cost_of_living
Water (1.5 liter bottle),4.35ʴ,2.50-7.00,Table1,cost_of_living
Bottle of Wine (Mid-Range),75.00ʴ,40.00-150.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),5.87ʴ,2.80-10.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),11.45ʴ,6.00-20.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),20.00ʴ,15.00-35.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),3.00ʴ,2.00-6.00,Table1,cost_of_living
Monthly Pass (Regular Price),250.00ʴ,150.00-400.00,Table1,cost_of_living
Taxi Start (Normal Tariff),16.00ʴ,14.00-20.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),3.00ʴ,2.60-3.50,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),60.00ʴ,30.00-100.00,Table1,cost_of_living
Gasoline (1 liter),8.05ʴ,7.00-9.00,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"140,000.00ʴ","130,000.00-152,232.54",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"125,258.84ʴ","100,800.00-150,000.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",375.44ʴ,231.82-680.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,62.35ʴ,29.00-125.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",98.59ʴ,60.00-200.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",339.09ʴ,"150.00-1,000.00",Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),143.43ʴ,80.00-200.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",60.00ʴ,50.00-80.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","9,038.67ʴ","5,000.00-18,000.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","222,692.31ʴ","140,000.00-300,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),390.14ʴ,199.00-800.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",268.16ʴ,140.00-500.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),547.64ʴ,399.00-800.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,699.74ʴ,"300.00-1,500.00",Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,"6,872.10ʴ","4,500.00-10,000.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,"3,967.86ʴ","2,500.00-6,000.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"17,277.78ʴ","11,000.00-25,000.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"8,557.69ʴ","6,000.00-12,000.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
