Category,Value,table_caption,category
Level of crime,20.10Low,Crime Details Table 1,crime
Crime increasing in the past 5 years,40.76Moderate,Crime Details Table 1,crime
Worries home broken and things stolen,22.40Low,Crime Details Table 1,crime
Worries being mugged or robbed,21.40Low,Crime Details Table 1,crime
Worries car stolen,19.77Very Low,Crime Details Table 1,crime
Worries things from car stolen,24.81Low,Crime Details Table 1,crime
Worries attacked,22.78Low,Crime Details Table 1,crime
Worries being insulted,28.20Low,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",21.44Low,Crime Details Table 1,crime
Problem people using or dealing drugs,20.86Low,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,28.36Low,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,19.35Very Low,Crime Details Table 1,crime
Problem corruption and bribery,50.53Moderate,Crime Details Table 1,crime
