Category,Value,table_caption,category
Level of crime,22.43Low,Crime Details Table 1,crime
Crime increasing in the past 5 years,45.37Moderate,Crime Details Table 1,crime
Worries home broken and things stolen,24.57Low,Crime Details Table 1,crime
Worries being mugged or robbed,22.72Low,Crime Details Table 1,crime
Worries car stolen,22.07Low,Crime Details Table 1,crime
Worries things from car stolen,24.69Low,Crime Details Table 1,crime
Worries attacked,22.96Low,Crime Details Table 1,crime
Worries being insulted,28.01Low,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",22.62Low,Crime Details Table 1,crime
Problem people using or dealing drugs,22.88Low,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,29.69Low,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,21.73Low,Crime Details Table 1,crime
Problem corruption and bribery,52.93Moderate,Crime Details Table 1,crime
