Month,ClimateScore,Weather Conditions Outline,table_caption,category,data_type
Jan,51.98,Low avg -1℃,Climate By Month in Berlin,climate,table
Feb,58.96,,Climate By Month in Berlin,climate,table
Mar,63.05,,Climate By Month in Berlin,climate,table
Apr,87.85,,Climate By Month in Berlin,climate,table
May,95.64,,Climate By Month in Berlin,climate,table
Jun,97.64,,Climate By Month in Berlin,climate,table
Jul,100.00,,Climate By Month in Berlin,climate,table
Aug,99.37,,Climate By Month in Berlin,climate,table
Sep,98.55,,Climate By Month in Berlin,climate,table
Oct,96.67,,Climate By Month in Berlin,climate,table
Nov,83.72,,Climate By Month in Berlin,climate,table
Dec,66.75,,Climate By Month in Berlin,climate,table
