Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,-1℃,3℃,Temperatures (table),climate,table
Feb,0℃,6℃,Temperatures (table),climate,table
Mar,1℃,9℃,Temperatures (table),climate,table
Apr,6℃,15℃,Temperatures (table),climate,table
May,9℃,19℃,Temperatures (table),climate,table
Jun,12℃,22℃,Temperatures (table),climate,table
Jul,16℃,26℃,Temperatures (table),climate,table
Aug,15℃,26℃,Temperatures (table),climate,table
Sep,11℃,19℃,Temperatures (table),climate,table
Oct,8℃,15℃,Temperatures (table),climate,table
Nov,4℃,9℃,Temperatures (table),climate,table
Dec,1℃,6℃,Temperatures (table),climate,table
