Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 €,10.00-25.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",70.00 €,48.00-100.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),11.99 €,10.00-12.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),4.50 €,3.00-5.60,Table1,cost_of_living
Imported Beer (0.33 liter bottle),4.00 €,3.00-5.50,Table1,cost_of_living
Cappuccino (regular),3.86 €,3.00-5.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),3.02 €,2.00-4.00,Table1,cost_of_living
Water (0.33 liter bottle),2.59 €,2.00-4.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.15 €,1.00-1.50,Table1,cost_of_living
Loaf of Fresh White Bread (500g),1.77 €,1.00-3.00,Table1,cost_of_living
"Rice (white), (1kg)",2.75 €,1.59-4.00,Table1,cost_of_living
Eggs (regular) (12),3.41 €,2.10-4.98,Table1,cost_of_living
Local Cheese (1kg),12.30 €,7.00-25.00,Table1,cost_of_living
Chicken Fillets (1kg),10.22 €,5.00-16.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),16.56 €,10.00-29.90,Table1,cost_of_living
Apples (1kg),2.91 €,2.00-3.50,Table1,cost_of_living
Banana (1kg),1.78 €,1.29-3.00,Table1,cost_of_living
Oranges (1kg),2.27 €,1.50-4.00,Table1,cost_of_living
Tomato (1kg),3.28 €,1.50-5.00,Table1,cost_of_living
Potato (1kg),1.76 €,0.75-3.00,Table1,cost_of_living
Onion (1kg),1.47 €,0.95-2.92,Table1,cost_of_living
Lettuce (1 head),1.40 €,1.00-2.00,Table1,cost_of_living
Water (1.5 liter bottle),0.91 €,0.29-1.99,Table1,cost_of_living
Bottle of Wine (Mid-Range),6.00 €,4.00-10.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),1.01 €,0.80-1.50,Table1,cost_of_living
Imported Beer (0.33 liter bottle),1.59 €,1.00-2.40,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),8.70 €,8.20-10.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),3.50 €,3.00-4.00,Table1,cost_of_living
Monthly Pass (Regular Price),59.00 €,58.00-106.50,Table1,cost_of_living
Taxi Start (Normal Tariff),5.00 €,3.50-7.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),2.30 €,2.00-3.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),36.75 €,32.00-40.00,Table1,cost_of_living
Gasoline (1 liter),1.71 €,1.63-1.85,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"28,000.00 €","27,180.00-32,000.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,122.36 €","30,197.00-33,340.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",310.62 €,191.25-495.83,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,17.55 €,9.90-40.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",41.62 €,35.00-50.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",33.13 €,24.00-60.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),24.42 €,16.00-30.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",12.75 €,11.00-15.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",168.00 €,75.00-700.00,Table1,cost_of_living
"International Primary School, Yearly for 1 Child","8,571.43 €","4,000.00-12,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),83.04 €,35.00-110.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",39.59 €,20.00-60.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),89.71 €,50.00-129.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,113.29 €,50.00-200.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,"1,256.13 €","900.00-1,700.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,938.38 €,"690.00-1,300.00",Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"2,362.86 €","1,800.00-3,200.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,"1,688.75 €","1,200.00-2,200.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"7,309.11 €","5,800.00-10,000.00",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"5,233.29 €","4,000.00-7,000.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"3,044.15 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.71,3.00-4.00,Table1,cost_of_living
