Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,-2℃,5℃,Temperatures (table),climate,table
Feb,1℃,9℃,Temperatures (table),climate,table
Mar,3℃,12℃,Temperatures (table),climate,table
Apr,8℃,19℃,Temperatures (table),climate,table
May,12℃,23℃,Temperatures (table),climate,table
Jun,16℃,27℃,Temperatures (table),climate,table
Jul,17℃,29℃,Temperatures (table),climate,table
Aug,17℃,30℃,Temperatures (table),climate,table
Sep,13℃,23℃,Temperatures (table),climate,table
Oct,8℃,18℃,Temperatures (table),climate,table
Nov,4℃,12℃,Temperatures (table),climate,table
Dec,-1℃,6℃,Temperatures (table),climate,table
