Category,Value,table_caption,category
Level of crime,36.80Low,Crime Details Table 1,crime
Crime increasing in the past 5 years,56.99Moderate,Crime Details Table 1,crime
Worries home broken and things stolen,31.14Low,Crime Details Table 1,crime
Worries being mugged or robbed,30.33Low,Crime Details Table 1,crime
Worries car stolen,33.76Low,Crime Details Table 1,crime
Worries things from car stolen,41.23Moderate,Crime Details Table 1,crime
Worries attacked,28.70Low,Crime Details Table 1,crime
Worries being insulted,32.69Low,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",26.13Low,Crime Details Table 1,crime
Problem people using or dealing drugs,46.20Moderate,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,45.34Moderate,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,30.58Low,Crime Details Table 1,crime
Problem corruption and bribery,83.07Very High,Crime Details Table 1,crime
