Category,Value,table_caption,category
Level of crime,55.24Moderate,Crime Details Table 1,crime
Crime increasing in the past 5 years,60.67High,Crime Details Table 1,crime
Worries home broken and things stolen,41.53Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,49.87Moderate,Crime Details Table 1,crime
Worries car stolen,40.39Moderate,Crime Details Table 1,crime
Worries things from car stolen,48.88Moderate,Crime Details Table 1,crime
Worries attacked,50.08Moderate,Crime Details Table 1,crime
Worries being insulted,55.26Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",40.92Moderate,Crime Details Table 1,crime
Problem people using or dealing drugs,61.68High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,58.23Moderate,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,54.01Moderate,Crime Details Table 1,crime
Problem corruption and bribery,54.35Moderate,Crime Details Table 1,crime
