Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,22℃,33℃,Temperatures (table),climate,table
Feb,22℃,34℃,Temperatures (table),climate,table
Mar,23℃,34℃,Temperatures (table),climate,table
Apr,24℃,33℃,Temperatures (table),climate,table
May,23℃,32℃,Temperatures (table),climate,table
Jun,23℃,32℃,Temperatures (table),climate,table
Jul,23℃,32℃,Temperatures (table),climate,table
Aug,22℃,31℃,Temperatures (table),climate,table
Sep,22℃,32℃,Temperatures (table),climate,table
Oct,21℃,32℃,Temperatures (table),climate,table
Nov,22℃,32℃,Temperatures (table),climate,table
Dec,22℃,33℃,Temperatures (table),climate,table
