Category,Value,table_caption,category
Level of crime,92.86Very High,Crime Details Table 1,crime
Crime increasing in the past 5 years,89.66Very High,Crime Details Table 1,crime
Worries home broken and things stolen,83.33Very High,Crime Details Table 1,crime
Worries being mugged or robbed,90.83Very High,Crime Details Table 1,crime
Worries car stolen,84.17Very High,Crime Details Table 1,crime
Worries things from car stolen,86.67Very High,Crime Details Table 1,crime
Worries attacked,81.25Very High,Crime Details Table 1,crime
Worries being insulted,52.50Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",16.67Very Low,Crime Details Table 1,crime
Problem people using or dealing drugs,70.00High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,89.17Very High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,92.50Very High,Crime Details Table 1,crime
Problem corruption and bribery,97.41Very High,Crime Details Table 1,crime
