Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,21℃,28℃,Best Months To Visit Buenos Aires,climate,table
Feb,21℃,27℃,Best Months To Visit Buenos Aires,climate,table
Mar,18℃,25℃,Best Months To Visit Buenos Aires,climate,table
Apr,16℃,22℃,Best Months To Visit Buenos Aires,climate,table
May,13℃,18℃,Best Months To Visit Buenos Aires,climate,table
Jun,9℃,15℃,Best Months To Visit Buenos Aires,climate,table
Jul,9℃,14℃,Best Months To Visit Buenos Aires,climate,table
Aug,10℃,17℃,Best Months To Visit Buenos Aires,climate,table
Sep,11℃,18℃,Best Months To Visit Buenos Aires,climate,table
Oct,14℃,21℃,Best Months To Visit Buenos Aires,climate,table
Nov,17℃,24℃,Best Months To Visit Buenos Aires,climate,table
Dec,20℃,28℃,Best Months To Visit Buenos Aires,climate,table
