Month,TempLow Avg,TempHigh Avg,table_caption,category,data_type
Jan,21℃,28℃,Temperatures (table),climate,table
Feb,21℃,27℃,Temperatures (table),climate,table
Mar,18℃,25℃,Temperatures (table),climate,table
Apr,16℃,22℃,Temperatures (table),climate,table
May,13℃,18℃,Temperatures (table),climate,table
Jun,9℃,15℃,Temperatures (table),climate,table
Jul,9℃,14℃,Temperatures (table),climate,table
Aug,10℃,17℃,Temperatures (table),climate,table
Sep,11℃,18℃,Temperatures (table),climate,table
Oct,14℃,21℃,Temperatures (table),climate,table
Nov,17℃,24℃,Temperatures (table),climate,table
Dec,20℃,28℃,Temperatures (table),climate,table
