Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 $,10.00-30.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",60.00 $,40.00-80.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),12.00 $,10.00-15.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),3.55 $,1.50-6.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),4.00 $,2.50-6.00,Table1,cost_of_living
Cappuccino (regular),4.01 $,2.00-7.00,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),2.15 $,1.50-3.00,Table1,cost_of_living
Water (0.33 liter bottle),1.47 $,1.00-2.50,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.51 $,1.00-2.00,Table1,cost_of_living
Loaf of Fresh White Bread (500g),2.67 $,1.00-4.00,Table1,cost_of_living
"Rice (white), (1kg)",2.17 $,1.10-3.06,Table1,cost_of_living
Eggs (regular) (12),3.31 $,2.00-5.00,Table1,cost_of_living
Local Cheese (1kg),12.28 $,8.00-27.00,Table1,cost_of_living
Chicken Fillets (1kg),7.96 $,4.00-12.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),9.61 $,6.50-14.50,Table1,cost_of_living
Apples (1kg),2.48 $,1.60-4.00,Table1,cost_of_living
Banana (1kg),2.08 $,1.40-4.00,Table1,cost_of_living
Oranges (1kg),1.21 $,0.71-3.00,Table1,cost_of_living
Tomato (1kg),2.52 $,1.00-4.00,Table1,cost_of_living
Potato (1kg),1.41 $,0.50-2.00,Table1,cost_of_living
Onion (1kg),1.39 $,0.60-2.50,Table1,cost_of_living
Lettuce (1 head),1.89 $,1.00-3.00,Table1,cost_of_living
Water (1.5 liter bottle),1.49 $,1.00-2.50,Table1,cost_of_living
Bottle of Wine (Mid-Range),6.00 $,4.00-10.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),2.19 $,1.41-3.03,Table1,cost_of_living
Imported Beer (0.33 liter bottle),3.12 $,1.50-5.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),3.50 $,2.00-4.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),0.70 $,0.50-1.00,Table1,cost_of_living
Monthly Pass (Regular Price),18.00 $,5.50-25.00,Table1,cost_of_living
Taxi Start (Normal Tariff),1.63 $,0.90-2.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),1.00 $,0.50-2.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),6.75 $,4.24-10.20,Table1,cost_of_living
Gasoline (1 liter),1.14 $,1.00-1.30,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"25,000.00 $","20,000.00-29,000.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"28,950.32 $","26,000.00-34,000.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",118.10 $,75.56-200.00,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,21.29 $,8.00-40.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",28.28 $,18.32-60.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",41.90 $,25.00-60.00,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),12.14 $,5.00-20.00,Table1,cost_of_living
"Cinema, International Release, 1 Seat",9.00 $,6.00-12.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",350.95 $,170.00-500.00,Table1,cost_of_living
"International Primary School, Yearly for 1 Child","5,552.31 $","3,000.00-9,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),110.87 $,70.00-150.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",87.30 $,50.00-140.00,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),129.33 $,80.00-200.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,129.77 $,50.00-250.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,657.84 $,"450.00-1,000.00",Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,443.46 $,300.00-600.00,Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,"1,178.33 $","750.00-1,600.00",Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,796.30 $,"550.00-1,300.00",Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,"2,663.48 $","2,000.00-4,305.56",Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,"1,952.94 $","1,500.00-3,518.00",Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),756.25 $,nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",52.71,40.00-70.00,Table1,cost_of_living
