Category,Value,table_caption,category
Level of crime,74.19High,Crime Details Table 1,crime
Crime increasing in the past 5 years,77.35High,Crime Details Table 1,crime
Worries home broken and things stolen,53.49Moderate,Crime Details Table 1,crime
Worries being mugged or robbed,72.19High,Crime Details Table 1,crime
Worries car stolen,57.62Moderate,Crime Details Table 1,crime
Worries things from car stolen,64.94High,Crime Details Table 1,crime
Worries attacked,55.71Moderate,Crime Details Table 1,crime
Worries being insulted,42.34Moderate,Crime Details Table 1,crime
"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",16.47Very Low,Crime Details Table 1,crime
Problem people using or dealing drugs,63.08High,Crime Details Table 1,crime
Problem property crimes such as vandalism and theft,70.76High,Crime Details Table 1,crime
Problem violent crimes such as assault and armed robbery,72.52High,Crime Details Table 1,crime
Problem corruption and bribery,86.75Very High,Crime Details Table 1,crime
