Restaurants,Edit,Range,table_caption,category
"Meal, Inexpensive Restaurant",15.00 €,10.00-25.00,Table1,cost_of_living
"Meal for 2 People, Mid-range Restaurant, Three-course",40.00 €,25.00-110.00,Table1,cost_of_living
McMeal at McDonalds (or Equivalent Combo Meal),8.50 €,7.00-14.00,Table1,cost_of_living
Domestic Beer (0.5 liter draught),5.00 €,5.00-9.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),4.00 €,4.00-9.00,Table1,cost_of_living
Cappuccino (regular),2.00 €,2.00-5.50,Table1,cost_of_living
Coke/Pepsi (0.33 liter bottle),3.00 €,2.00-5.00,Table1,cost_of_living
Water (0.33 liter bottle),1.50 €,1.00-5.00,Table1,cost_of_living
Markets,Edit,nan,Table1,cost_of_living
"Milk (regular), (1 liter)",1.36 €,1.00-3.00,Table1,cost_of_living
Loaf of Fresh White Bread (500g),1.25 €,1.00-4.00,Table1,cost_of_living
"Rice (white), (1kg)",2.64 €,1.26-5.00,Table1,cost_of_living
Eggs (regular) (12),4.40 €,2.40-7.20,Table1,cost_of_living
Local Cheese (1kg),8.00 €,6.00-40.00,Table1,cost_of_living
Chicken Fillets (1kg),12.00 €,6.00-25.00,Table1,cost_of_living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),17.15 €,10.00-28.00,Table1,cost_of_living
Apples (1kg),2.00 €,1.80-4.80,Table1,cost_of_living
Banana (1kg),1.30 €,1.00-4.00,Table1,cost_of_living
Oranges (1kg),2.00 €,1.00-5.00,Table1,cost_of_living
Tomato (1kg),3.00 €,2.00-5.00,Table1,cost_of_living
Potato (1kg),1.00 €,1.00-4.00,Table1,cost_of_living
Onion (1kg),1.00 €,1.00-4.00,Table1,cost_of_living
Lettuce (1 head),1.00 €,1.00-2.29,Table1,cost_of_living
Water (1.5 liter bottle),0.71 €,0.19-2.00,Table1,cost_of_living
Bottle of Wine (Mid-Range),5.00 €,4.00-16.00,Table1,cost_of_living
Domestic Beer (0.5 liter bottle),1.76 €,1.20-4.00,Table1,cost_of_living
Imported Beer (0.33 liter bottle),1.50 €,1.00-7.00,Table1,cost_of_living
Cigarettes 20 Pack (Marlboro),12.00 €,12.00-14.00,Table1,cost_of_living
Transportation,Edit,nan,Table1,cost_of_living
One-way Ticket (Local Transport),?,nan,Table1,cost_of_living
Monthly Pass (Regular Price),?,nan,Table1,cost_of_living
Taxi Start (Normal Tariff),8.00 €,4.50-15.00,Table1,cost_of_living
Taxi 1km (Normal Tariff),2.00 €,1.29-4.00,Table1,cost_of_living
Taxi 1hour Waiting (Normal Tariff),48.00 €,25.50-60.00,Table1,cost_of_living
Gasoline (1 liter),1.83 €,1.70-2.00,Table1,cost_of_living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"30,740.00 €","30,000.00-32,395.00",Table1,cost_of_living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"31,527.78 €","30,000.00-33,750.00",Table1,cost_of_living
Utilities (Monthly),Edit,nan,Table1,cost_of_living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",223.11 €,150.00-354.17,Table1,cost_of_living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,15.17 €,7.00-26.00,Table1,cost_of_living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",31.82 €,21.00-50.00,Table1,cost_of_living
Sports And Leisure,Edit,nan,Table1,cost_of_living
"Fitness Club, Monthly Fee for 1 Adult",?,nan,Table1,cost_of_living
Tennis Court Rent (1 Hour on Weekend),?,nan,Table1,cost_of_living
"Cinema, International Release, 1 Seat",14.00 €,10.00-15.00,Table1,cost_of_living
Childcare,Edit,nan,Table1,cost_of_living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",766.67 €,"500.00-1,200.00",Table1,cost_of_living
"International Primary School, Yearly for 1 Child","13,000.00 €","6,000.00-26,000.00",Table1,cost_of_living
Clothing And Shoes,Edit,nan,Table1,cost_of_living
1 Pair of Jeans (Levis 501 Or Similar),101.81 €,49.00-140.00,Table1,cost_of_living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.62 €,25.00-79.99,Table1,cost_of_living
1 Pair of Nike Running Shoes (Mid-Range),104.67 €,80.00-140.00,Table1,cost_of_living
1 Pair of Men Leather Business Shoes,134.62 €,99.00-190.00,Table1,cost_of_living
Rent Per Month,Edit,nan,Table1,cost_of_living
Apartment (1 bedroom) in City Centre,400.00 €,nan,Table1,cost_of_living
Apartment (1 bedroom) Outside of Centre,350.00 €,nan,Table1,cost_of_living
Apartment (3 bedrooms) in City Centre,700.00 €,nan,Table1,cost_of_living
Apartment (3 bedrooms) Outside of Centre,600.00 €,nan,Table1,cost_of_living
Buy Apartment Price,Edit,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment in City Centre,?,nan,Table1,cost_of_living
Price per Square Meter to Buy Apartment Outside of Centre,?,nan,Table1,cost_of_living
Salaries And Financing,Edit,nan,Table1,cost_of_living
Average Monthly Net Salary (After Tax),"1,900.00 €",nan,Table1,cost_of_living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.61,3.00-4.00,Table1,cost_of_living
